A;N-Z;N;Z;Element;O;ME [keV];Error ME [keV];BINDING ENERGY/A [keV];Error BINDING ENERGY/A [keV];ATOMIC MASS [µu];Error ATOMIC MASS [µu];Extrapolated?
93;13;53;40;Zr;    ;-87122.02800;0.45600;8671.62070;0.00490;92906470.66100;0.48900;False
93;11;52;41;Nb;    ;-87212.84000;1.49000;8664.18490;0.01600;92906373.17000;1.59900;False
93;9;51;42;Mo;  -n;-86807.07900;0.18100;8651.40950;0.00200;92906808.77200;0.19300;False
93;7;50;43;Tc;  -p;-83606.11600;1.01200;8608.57820;0.01090;92910245.14700;1.08600;False
93;5;49;44;Ru;    ;-77216.72300;2.06500;8531.46270;0.02220;92917104.44200;2.21600;False
93;3;48;45;Rh;    ;-69011.81000;2.62900;8434.82550;0.02830;92925912.77800;2.82100;False
93;1;47;46;Pd;   -;-58981.81000;370.00900;8318.56370;3.97860;92936680.42600;397.22100;False
93;-1;46;47;Ag;   x;-46400.00000;401.00000;8175.00000;4.00000;92950188.00000;430.00000;True
94;26;60;34;Se;   x;-36803.00000;500.00000;8180.00000;5.00000;93960490.00000;537.00000;True
94;24;59;35;Br;   x;-47650.00000;200.00000;8287.00000;2.00000;93948846.00000;215.00000;True
94;22;58;36;Kr;   x;-61347.78000;12.10900;8424.33180;0.12880;93934140.45200;13.00000;False
94;20;57;37;Rb;    ;-68562.79100;2.02900;8492.76440;0.02160;93926394.81900;2.17700;False
94;18;56;38;Sr;    ;-78845.72100;1.66300;8593.83440;0.01770;93915355.64100;1.78500;False
94;16;55;39;Y;    ;-82351.47300;6.38000;8622.80680;0.06790;93911592.06200;6.84900;False
94;14;54;40;Zr;    ;-87269.33200;0.16400;8666.80160;0.00180;93906312.52300;0.17500;False
94;12;53;41;Nb;    ;-86369.06300;1.49100;8648.90140;0.01590;93907279.00100;1.60000;False
94;10;52;42;Mo;    ;-88414.07900;0.14100;8662.33410;0.00150;93905083.58600;0.15100;False
94;8;51;43;Tc;   -;-84158.33200;4.07100;8608.73730;0.04330;93909652.31900;4.37000;False
94;6;50;44;Ru;    ;-82583.60200;3.14300;8583.66200;0.03340;93911342.86000;3.37400;False
94;4;49;45;Rh;    ;-72907.62300;3.37900;8472.40330;0.03590;93921730.45000;3.62700;False
94;2;48;46;Pd;   x;-66102.28100;4.28700;8391.68320;0.04560;93929036.28600;4.60200;False
94;0;47;47;Ag;   -;-52402.00000;400.00000;8238.00000;4.00000;93943744.00000;429.00000;True
94;-2;46;48;Cd;   x;-40440.00000;500.00000;8102.00000;5.00000;93956586.00000;537.00000;True
95;27;61;34;Se;   x;-30460.00000;500.00000;8112.00000;5.00000;94967300.00000;537.00000;True
95;25;60;35;Br;   x;-43850.00000;300.00000;8245.00000;3.00000;94952925.00000;322.00000;True
95;23;59;36;Kr;   x;-56158.92000;18.63000;8365.99630;0.19610;94939710.92200;20.00000;False
95;21;58;37;Rb;    ;-65890.30700;20.24500;8460.19670;0.21310;94929263.84900;21.73300;False
95;19;57;38;Sr;    ;-75117.28400;5.81000;8549.08750;0.06120;94919358.28200;6.23700;False
95;17;56;39;Y;    ;-81207.93700;6.77900;8604.96440;0.07140;94912819.69700;7.27700;False
95;15;55;40;Zr;    ;-85659.94000;0.86900;8643.59240;0.00920;94908040.27600;0.93300;False
95;13;54;41;Nb;    ;-86786.27200;0.50800;8647.21330;0.00540;94906831.11000;0.54500;False
95;11;53;42;Mo;    ;-87711.87200;0.12300;8648.72120;0.00130;94905837.43600;0.13200;False
95;9;52;43;Tc;    ;-86021.35500;5.08000;8622.69110;0.05350;94907652.28100;5.45300;False
95;7;51;44;Ru;    ;-83457.75900;9.50200;8587.47060;0.10000;94910404.41500;10.20000;False
95;5;50;45;Rh;    ;-78340.61600;3.88600;8525.37070;0.04090;94915897.89300;4.17100;False
95;3;49;46;Pd;   x;-69965.91300;3.03100;8428.98070;0.03190;94924888.50600;3.25300;False
95;1;48;47;Ag;   -;-59906.00000;400.00000;8315.00000;4.00000;94935688.00000;429.00000;True
95;-1;47;48;Cd;   -;-47056.00000;566.00000;8171.00000;6.00000;94949483.00000;607.00000;True
96;26;61;35;Br;   x;-38210.00000;300.00000;8184.00000;3.00000;95958980.00000;322.00000;True
96;24;60;36;Kr;    ;-53081.68200;19.27700;8330.87210;0.20080;95943014.47300;20.69500;False
96;22;59;37;Rb;    ;-61354.35100;3.35300;8408.89630;0.03490;95934133.39800;3.59900;False
96;20;58;38;Sr;    ;-72918.24800;8.46600;8521.20410;0.08820;95921719.04500;9.08900;False
96;18;57;39;Y;    ;-78329.98600;6.07500;8569.42690;0.06330;95915909.30500;6.52100;False
96;16;56;40;Zr;    ;-85438.86000;0.11400;8635.32830;0.00120;95908277.61500;0.12200;False
96;14;55;41;Nb;    ;-85602.83000;0.14700;8628.88680;0.00150;95908101.58600;0.15700;False
96;12;54;42;Mo;    ;-88794.88900;0.12000;8653.98800;0.00130;95904674.77000;0.12800;False
96;10;53;43;Tc;   -;-85821.64800;5.14600;8614.86730;0.05360;95907866.67500;5.52400;False
96;8;52;44;Ru;    ;-86080.38500;0.17000;8609.41300;0.00180;95907588.91000;0.18200;False
96;6;51;45;Rh;   -;-79687.73200;10.00100;8534.67350;0.10420;95914451.70500;10.73700;False
96;4;50;46;Pd;   x;-76183.42000;4.19400;8490.02070;0.04370;95918213.73900;4.50200;False
96;2;49;47;Ag;  ep;-64511.64500;90.08400;8360.29030;0.93840;95930743.90300;96.70800;False
96;0;48;48;Cd;   -;-55572.00000;410.00000;8259.00000;4.00000;95940341.00000;440.00000;True
96;-2;47;49;In;   x;-38090.00000;500.00000;8069.00000;5.00000;95959109.00000;537.00000;True
97;27;62;35;Br;   x;-34000.00000;400.00000;8140.00000;4.00000;96963499.00000;429.00000;True
97;25;61;36;Kr;   x;-47423.49900;130.40900;8269.86450;1.34440;96949088.78200;140.00000;False
97;23;60;37;Rb;    ;-58519.14500;1.91200;8376.18720;0.01970;96937177.11700;2.05200;False
97;21;59;38;Sr;    ;-68580.67400;3.38500;8471.84890;0.03490;96926375.62100;3.63300;False
97;19;58;39;Y;   +;-76115.45500;6.70800;8541.46160;0.06920;96918286.70200;7.20100;False
97;17;57;40;Zr;    ;-82936.69300;0.12100;8603.71820;0.00130;96910963.80200;0.13000;False
97;15;56;41;Nb;    ;-85602.79700;4.24400;8623.13840;0.04380;96908101.62200;4.55600;False
97;13;55;42;Mo;    ;-87544.70000;0.16500;8635.09260;0.00170;96906016.90300;0.17600;False
97;11;54;43;Tc;    ;-87224.43600;4.11800;8623.72540;0.04250;96906360.72000;4.42000;False
97;9;53;44;Ru;  -n;-86120.56400;2.76300;8604.27990;0.02850;96907545.77600;2.96500;False
97;7;52;45;Rh;   -;-82597.56400;35.46300;8559.89490;0.36560;96911327.87200;38.07100;False
97;5;51;46;Pd;   x;-77805.85200;4.84400;8502.43030;0.04990;96916471.98500;5.20000;False
97;3;50;47;Ag;   x;-70904.02700;12.01600;8423.21210;0.12390;96923881.40000;12.90000;False
97;1;49;48;Cd;   -;-60734.02700;420.17200;8310.30130;4.33170;96934799.34300;451.07300;False
97;-1;48;49;In;   x;-47390.00000;401.00000;8165.00000;4.00000;96949125.00000;430.00000;True
98;28;63;35;Br;   x;-28050.00000;400.00000;8078.00000;4.00000;97969887.00000;429.00000;True
98;26;62;36;Kr;   x;-44120.00000;300.00000;8234.00000;3.00000;97952635.00000;322.00000;True
98;24;61;37;Rb;    ;-54369.15200;16.08300;8330.72940;0.16410;97941632.31700;17.26500;False
98;22;60;38;Sr;    ;-66422.38900;3.22600;8445.73850;0.03290;97928692.63600;3.46300;False
98;20;59;39;Y;p-2n;-72288.74800;7.91900;8497.61620;0.08080;97922394.84100;8.50100;False
98;18;58;40;Zr;    ;-81281.75700;8.44500;8581.39840;0.08620;97912740.44800;9.06500;False
98;16;57;41;Nb; -pn;-83524.61200;5.00100;8596.30160;0.05100;97910332.64500;5.36900;False
98;14;56;42;Mo;    ;-88115.98000;0.17400;8635.16910;0.00180;97905403.60900;0.18600;False
98;12;55;43;Tc;    ;-86432.21400;3.38000;8610.00470;0.03450;97907211.20600;3.62800;False
98;10;54;44;Ru;    ;-88224.87100;6.46300;8620.31400;0.06590;97905286.70900;6.93700;False
98;8;53;45;Rh;   -;-83175.21900;11.90600;8560.80380;0.12150;97910707.73400;12.78200;False
98;6;52;46;Pd;    ;-81320.98500;4.74200;8533.89990;0.04840;97912698.33500;5.09000;False
98;4;51;47;Ag;    ;-73066.42500;32.90700;8441.68660;0.33580;97921559.97000;35.32700;False
98;2;50;48;Cd;   -;-67636.42500;51.79700;8378.29530;0.52850;97927389.31500;55.60500;False
98;0;49;49;In;   -;-53906.00000;304.00000;8230.00000;3.00000;97942129.00000;327.00000;True
99;27;63;36;Kr;   x;-38400.00000;400.00000;8175.00000;4.00000;98958776.00000;429.00000;True
99;25;62;37;Rb;   x;-51121.15000;4.03100;8295.30100;0.04070;98945119.19000;4.32700;False
99;23;61;38;Sr;    ;-62518.52700;4.73700;8402.52350;0.04790;98932883.60400;5.08500;False
99;21;60;39;Y;   x;-70643.73000;6.61500;8476.69380;0.06680;98924160.83900;7.10100;False
99;19;59;40;Zr;    ;-77616.67000;10.49900;8539.22500;0.10610;98916675.08100;11.27100;False
99;17;58;41;Nb;  +p;-82335.34400;12.00400;8578.98590;0.12130;98911609.37700;12.88600;False
99;15;57;42;Mo;    ;-85970.10600;0.22900;8607.79820;0.00230;98907707.29900;0.24500;False
99;13;56;43;Tc;    ;-87327.86900;0.90800;8613.61050;0.00920;98906249.68100;0.97400;False
99;11;55;44;Ru;    ;-87625.38500;0.34300;8608.71320;0.00350;98905930.28400;0.36800;False
99;9;54;45;Rh;    ;-85584.52200;19.45100;8580.19590;0.19650;98908121.24100;20.88100;False
99;7;53;46;Pd;    ;-82182.86100;5.10700;8537.93320;0.05160;98911773.07300;5.48200;False
99;5;52;47;Ag;   x;-76712.48300;6.26500;8474.77440;0.06330;98917645.76600;6.72500;False
99;3;51;48;Cd;   x;-69931.13200;1.58400;8398.37340;0.01600;98924925.84500;1.70000;False
99;1;50;49;In;   x;-61376.00000;298.00000;8304.00000;3.00000;98934110.00000;320.00000;True
99;-1;49;50;Sn;   -;-47976.00000;582.00000;8161.00000;6.00000;98948495.00000;625.00000;True
100;28;64;36;Kr;   x;-34470.00000;400.00000;8134.00000;4.00000;99962995.00000;429.00000;True
100;26;63;37;Rb;    ;-46265.88400;13.12400;8244.50850;0.13120;99950331.53200;14.08900;False
100;24;62;38;Sr;    ;-59817.50500;6.91800;8372.20120;0.06920;99935783.27000;7.42600;False
100;22;61;39;Y;   x;-67321.24100;11.17900;8439.41510;0.11180;99927727.67800;12.00000;False
100;20;60;40;Zr;    ;-76372.73600;8.14300;8522.10660;0.08140;99918010.49900;8.74200;False
100;18;59;41;Nb;  IT;-79791.24600;7.97600;8548.46830;0.07980;99914340.57800;8.56200;False
100;16;58;42;Mo;    ;-86193.02900;0.30100;8604.66260;0.00300;99907467.98200;0.32200;False
100;14;57;43;Tc;  -n;-86020.95100;1.35100;8595.11840;0.01350;99907652.71500;1.45000;False
100;12;56;44;Ru;    ;-89227.39100;0.34200;8619.35930;0.00340;99904210.46000;0.36700;False
100;10;55;45;Rh;    ;-85591.13000;18.12500;8575.17320;0.18130;99908114.14700;19.45800;False
100;8;54;46;Pd;    ;-85212.67200;17.63700;8563.56520;0.17640;99908520.43800;18.93400;False
100;6;53;47;Ag;   x;-78137.96900;5.00000;8484.99470;0.05000;99916115.44300;5.36700;False
100;4;52;48;Cd;   x;-74194.59500;1.67700;8437.73750;0.01680;99920348.82900;1.80000;False
100;2;51;49;In;   x;-64178.14600;2.23600;8329.74950;0.02240;99931101.92900;2.40000;False
100;0;50;50;Sn;   -;-57148.14600;240.01000;8251.62600;2.40010;99938648.94400;257.66100;False
101;29;65;36;Kr;   x;-28580.00000;500.00000;8075.00000;5.00000;100969318.00000;537.00000;True
101;27;64;37;Rb;   x;-42567.41700;20.49300;8206.17530;0.20290;100954302.00000;22.00000;False
101;25;63;38;Sr;   x;-55324.91400;8.48000;8324.74110;0.08400;100940606.26400;9.10300;False
101;23;62;39;Y;   x;-65054.78700;7.08000;8413.33050;0.07010;100930160.81700;7.60100;False
101;21;61;40;Zr;    ;-73160.98700;8.33200;8485.84390;0.08250;100921458.45400;8.94400;False
101;19;60;41;Nb;   x;-78891.48800;3.74900;8534.83550;0.03710;100915306.50800;4.02400;False
